,animal,channel,type,x,y,z
0,E57,01,1,510,792,134
1,E57,01,2,728,788,134
2,E57,01,3,458,916,171
3,E57,01,4,814,904,175
4,E57,02,3,458,916,174
5,E57,02,4,814,900,176
6,E59,01,1,521,796,143
7,E59,01,3,443,917,180
8,E59,01,4,789,916,169
9,E59,02,1,524,796,149
10,E59,02,3,442,918,185
11,E59,02,4,792,911,174
12,E60,01,1,504,800,148
13,E60,01,2,724,792,148
14,E60,01,3,446,926,175
15,E60,01,4,782,936,167
16,E60,02,2,726,790,148
17,E60,02,4,786,934,172
18,E61,01,1,530,792,137
19,E61,01,2,738,802,137
20,E61,01,3,432,920,180
21,E61,01,4,818,904,171
22,E61,02,4,820,909,175
23,E62,01,1,498,790,136
24,E62,01,2,738,798,133
25,E62,01,3,474,925,147
26,E62,01,4,812,921,174
27,E62,02,4,810,920,172
28,E63,01,1,544,788,127
29,E63,01,2,746,794,140
30,E63,01,3,456,924,161
31,E63,01,4,780,924,158
32,E63,02,3,474,924,150
33,E63,02,4,776,924,150
34,E64,01,1,526,796,131
35,E64,01,2,728,796,135
36,E64,01,3,455,919,158
37,E64,01,4,813,907,170
38,E64,02,3,456,916,154
39,E65,01,1,530,780,135
40,E65,01,2,719,783,135
41,E65,01,3,450,909,160
42,E65,01,4,808,920,161
43,E65,02,1,526,784,141
44,E66,01,1,486,794,137
45,E66,01,2,742,792,134
46,E66,01,3,452,920,161
47,E66,01,4,812,918,171
48,E66,02,3,450,922,166
49,E66,02,4,806,920,175
50,E67,01,1,530,794,142
51,E67,01,2,742,792,142
52,E67,01,3,438,898,181
53,E67,01,4,804,902,185
54,E67,02,1,532,792,148
55,E67,02,3,434,898,187
56,E68,01,1,516,794,141
57,E68,01,2,740,796,150
58,E68,01,3,430,906,171
59,E68,01,4,769,906,158
60,E68,02,3,434,906,172
61,E69,01,1,528,790,136
62,E69,01,2,732,792,136
63,E69,01,3,466,920,161
64,E69,01,4,752,920,154
65,E69,02,3,458,924,167
66,E70,01,1,524,775,134
67,E70,01,2,716,770,139
68,E70,01,3,439,896,164
69,E70,01,4,770,905,161
70,E70,02,1,526,775,136
71,E70,02,4,765,906,163
72,E71,01,1,509,788,133
73,E71,01,2,754,800,140
74,E71,01,3,439,899,172
75,E71,01,4,792,918,171
76,E71,02,1,501,792,152
77,E71,02,3,439,900,172
78,E71,02,4,793,921,172
79,E72,01,1,503,801,155
80,E72,01,2,733,794,138
81,E72,01,3,456,927,173
82,E72,01,4,786,936,168
83,E72,02,1,503,800,153
84,E72,02,3,456,925,175
85,E72,02,4,778,934,168
86,E73,01,1,511,780,134
87,E73,01,3,444,893,174
88,E73,01,4,817,890,168
89,E74,01,1,515,793,133
90,E74,01,2,745,800,146
91,E74,01,3,423,915,175
92,E74,01,4,812,909,175
93,E74,02,2,741,796,152
94,E74,02,3,422,912,177
95,E75,01,1,519,784,137
96,E75,01,2,733,782,138
97,E75,01,3,423,911,177
98,E75,01,4,806,905,169
99,E75,02,3,436,911,171
100,E75,02,4,806,909,173
101,E76,01,1,513,799,141
102,E76,01,2,750,809,139
103,E76,01,3,432,908,173
104,E76,01,4,810,904,179
105,E76,02,3,459,927,164
106,E77,01,1,532,782,131
107,E77,01,2,719,784,131
108,E77,01,3,465,912,159
109,E77,01,4,798,912,168
110,E77,02,4,792,920,167
111,E78,01,1,528,790,124
112,E78,01,2,725,785,136
113,E78,01,3,427,921,171
114,E78,01,4,810,921,171
115,E78,02,3,429,918,172
116,E79,01,1,520,794,128
117,E79,01,2,706,788,129
118,E79,01,3,448,916,164
119,E79,01,4,780,926,162
120,E79,02,3,442,918,171
121,E80,01,1,511,784,144
122,E80,01,2,729,779,146
123,E80,01,3,438,898,170
124,E80,01,4,807,894,168
125,E80,02,3,432,900,173
126,E80,02,4,806,898,170
127,E81,01,1,538,782,133
128,E81,01,2,734,786,134
129,E81,01,3,458,912,165
130,E81,01,4,799,921,164
131,E81,02,2,736,792,137
132,E81,02,3,460,914,166
133,E82,01,1,516,797,134
134,E82,01,2,738,795,134
135,E82,01,3,453,931,161
136,E82,01,4,790,922,161
137,E82,02,3,454,934,165
138,E82,02,4,794,922,165
139,E83,01,1,509,781,133
140,E83,01,2,732,784,129
141,E83,01,3,434,866,174
142,E83,01,4,815,904,170
143,E83,02,3,431,870,168
144,E84,01,1,529,794,133
145,E84,01,2,724,793,124
146,E84,01,3,468,925,162
147,E84,01,4,812,916,167
148,E84,02,3,462,924,172
149,E85,01,1,496,784,143
150,E85,01,2,728,787,133
151,E85,01,3,429,902,177
152,E85,01,4,796,922,167
153,E85,02,1,500,786,152
154,E85,02,3,432,902,182
155,E85,02,4,794,924,175
156,E86,01,1,517,806,156
157,E86,01,2,744,807,136
158,E86,01,3,464,965,188
159,E86,01,4,817,964,188
160,E86,02,1,504,810,157
161,E86,02,2,742,814,159
162,E86,02,3,466,964,189
163,E86,02,4,814,970,189
